Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.4767,Mon Jun 11 06:04:41 +0000 2018,0.78,0.0,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,119,@CBS
0.8478,Mon Jun 11 03:10:33 +0000 2018,0.594,0.0,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,120,@CBS
0.92,Mon Jun 11 03:02:06 +0000 2018,0.537,0.0,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,121,@CBS
0.4404,Mon Jun 11 02:58:30 +0000 2018,0.737,0.088,0.175,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",122,@CBS
0.4404,Mon Jun 11 02:56:40 +0000 2018,0.847,0.0,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,123,@CBS
0.836,Mon Jun 11 02:56:10 +0000 2018,0.533,0.0,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,124,@CBS
0.0,Mon Jun 11 02:53:00 +0000 2018,1.0,0.0,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,125,@CBS
0.6369,Mon Jun 11 02:47:29 +0000 2018,0.682,0.0,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,126,@CBS
0.7978,Mon Jun 11 02:44:50 +0000 2018,0.457,0.0,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,127,@CBS
0.9523,Mon Jun 11 02:44:37 +0000 2018,0.484,0.0,0.516,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,128,@CBS
